date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:04:59	2261/2261	---M--	200	added ('OK')	image/png	etag:9178831a6f5abe674894d29ba3140eb0	https://pro2-bar-s3-cdn-cf1.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/9e37dfb2-1de0-4320-9cd8-26c7b774ae38_rwc_0x0x2762x2160x32.png?h=fbd3ded758b960f193195546455f889d	D:/Portfolio/Adobe/Portfolio/pro2-bar-s3-cdn-cf1.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/9e37dfb2-1de0-4320-9cd8-26c7b774ae38_rwc_0x0x2762x2160x328b33.png	(from https://atharvakhole.myportfolio.com/)
13:05:00	28850/28850	---M--	200	added ('OK')	text/html	date:Mon,%2020%20Jun%202022%2005:05:00%20GMT	https://atharvakhole.myportfolio.com/mooncake-packaging	D:/Portfolio/Adobe/Portfolio/atharvakhole.myportfolio.com/mooncake-packaging.html	(from https://atharvakhole.myportfolio.com/)
13:05:00	64199/64199	---M--	200	added ('OK')	image/jpeg	etag:b341e186a284d22d653844c6534adabb	https://pro2-bar-s3-cdn-cf6.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/762f6dde-fa32-402b-a807-73f32cf47d64_rwc_757x1010x2315x1810x32.jpg?h=1d0ff8f62569c365ce82d1abf228fa09	D:/Portfolio/Adobe/Portfolio/pro2-bar-s3-cdn-cf6.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/762f6dde-fa32-402b-a807-73f32cf47d64_rwc_757x1010x2315x1810x3225e2.jpg	(from https://atharvakhole.myportfolio.com/)
13:05:00	21537/21537	---M--	200	added ('OK')	text/html	date:Mon,%2020%20Jun%202022%2005:05:01%20GMT	https://atharvakhole.myportfolio.com/hard-hat	D:/Portfolio/Adobe/Portfolio/atharvakhole.myportfolio.com/hard-hat.html	(from https://atharvakhole.myportfolio.com/)
13:05:01	1438/1438	---M--	200	added ('OK')	image/png	etag:c09872a09b35f51664fab24bda7fdfc4	https://pro2-bar-s3-cdn-cf3.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/e3c01d8f-cd94-4b39-b449-f53cb4f1553b_carw_202x158x32.png?h=38f4fdcc4d5ac52a4937e4219e9055b4	D:/Portfolio/Adobe/Portfolio/pro2-bar-s3-cdn-cf3.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/e3c01d8f-cd94-4b39-b449-f53cb4f1553b_carw_202x158x3215a3.png	(from https://atharvakhole.myportfolio.com/)
13:05:01	33045/33045	---M--	200	added ('OK')	text/html	date:Mon,%2020%20Jun%202022%2005:05:01%20GMT	https://atharvakhole.myportfolio.com/forgotten	D:/Portfolio/Adobe/Portfolio/atharvakhole.myportfolio.com/forgotten.html	(from https://atharvakhole.myportfolio.com/)
13:05:01	1138/1138	---M--	200	added ('OK')	image/png	etag:afbfae34ae7b3206f61613f3055831fb	https://pro2-bar-s3-cdn-cf3.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/e6980932-6915-42e4-9dd8-be39096a4f37_rwc_194x0x1381x1080x32.png?h=5a9a6491d1ea16a59f8813659051d1d6	D:/Portfolio/Adobe/Portfolio/pro2-bar-s3-cdn-cf3.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/e6980932-6915-42e4-9dd8-be39096a4f37_rwc_194x0x1381x1080x325b5b.png	(from https://atharvakhole.myportfolio.com/)
13:05:02	22246/22246	---M--	200	added ('OK')	text/html	date:Mon,%2020%20Jun%202022%2005:05:02%20GMT	https://atharvakhole.myportfolio.com/quarantine	D:/Portfolio/Adobe/Portfolio/atharvakhole.myportfolio.com/quarantine.html	(from https://atharvakhole.myportfolio.com/)
13:05:02	1198/1198	---M--	200	added ('OK')	image/jpeg	etag:3df3c9255826e9018d32cb349b446200	https://pro2-bar-s3-cdn-cf1.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/c22ccc4c-ff3f-4cbf-86ca-52f529853571_carw_202x158x32.jpg?h=6d49facd35472299c13bfea3e878a797	D:/Portfolio/Adobe/Portfolio/pro2-bar-s3-cdn-cf1.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/c22ccc4c-ff3f-4cbf-86ca-52f529853571_carw_202x158x329ffd.jpg	(from https://atharvakhole.myportfolio.com/)
13:05:02	19874/19874	---M--	200	added ('OK')	text/html	date:Mon,%2020%20Jun%202022%2005:05:02%20GMT	https://atharvakhole.myportfolio.com/boink	D:/Portfolio/Adobe/Portfolio/atharvakhole.myportfolio.com/boink.html	(from https://atharvakhole.myportfolio.com/)
13:05:02	1350/1350	---M--	200	added ('OK')	image/jpeg	etag:c363d80313565ba0e00e2e5a2de23296	https://pro2-bar-s3-cdn-cf4.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/5ffa7a5c-dbb4-4cee-811a-316dbc33f017_carw_202x158x32.jpg?h=bb26b4ee6cdceebc5998b61ed04fbd50	D:/Portfolio/Adobe/Portfolio/pro2-bar-s3-cdn-cf4.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/5ffa7a5c-dbb4-4cee-811a-316dbc33f017_carw_202x158x326c50.jpg	(from https://atharvakhole.myportfolio.com/)
13:05:03	19809/19809	---M--	200	added ('OK')	text/html	date:Mon,%2020%20Jun%202022%2005:05:03%20GMT	https://atharvakhole.myportfolio.com/sad-boi	D:/Portfolio/Adobe/Portfolio/atharvakhole.myportfolio.com/sad-boi.html	(from https://atharvakhole.myportfolio.com/)
13:05:03	1867/1867	---M--	200	added ('OK')	image/png	etag:168cccb974103023114b4fdb0597891f	https://pro2-bar-s3-cdn-cf3.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/4520ee61-d647-4f0a-be63-66f02eb5cd6f_carw_202x158x32.png?h=de210942905aa819816ac255889ed6a0	D:/Portfolio/Adobe/Portfolio/pro2-bar-s3-cdn-cf3.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/4520ee61-d647-4f0a-be63-66f02eb5cd6f_carw_202x158x32b7a2.png	(from https://atharvakhole.myportfolio.com/)
13:05:03	20204/20204	---M--	200	added ('OK')	text/html	date:Mon,%2020%20Jun%202022%2005:05:03%20GMT	https://atharvakhole.myportfolio.com/the-world-without-us	D:/Portfolio/Adobe/Portfolio/atharvakhole.myportfolio.com/the-world-without-us.html	(from https://atharvakhole.myportfolio.com/)
13:05:03	1365/1365	---M--	200	added ('OK')	image/jpeg	etag:df6446c826c40ea2539cd7541a135bb1	https://pro2-bar-s3-cdn-cf1.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/24e812f3-cd3b-4520-808b-03d39494df43_carw_202x158x32.jpg?h=1bddf363ebb2feacf5cc8313b83a91aa	D:/Portfolio/Adobe/Portfolio/pro2-bar-s3-cdn-cf1.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/24e812f3-cd3b-4520-808b-03d39494df43_carw_202x158x3217c3.jpg	(from https://atharvakhole.myportfolio.com/)
13:05:03	141/141	---M--	200	added ('OK')	application/javascript	date:Mon,%2020%20Jun%202022%2005:05:03%20GMT	https://atharvakhole.myportfolio.com/site/translations?cb=3542f9ec304c2dc19fc7fd80dd515314aade8328	D:/Portfolio/Adobe/Portfolio/atharvakhole.myportfolio.com/site/translations9089	(from https://atharvakhole.myportfolio.com/)
13:05:04	354855/354855	---M--	200	added ('OK')	application/javascript	etag:%2262a8ebac-56a27%22	https://atharvakhole.myportfolio.com/dist/js/main.js?cb=3542f9ec304c2dc19fc7fd80dd515314aade8328	D:/Portfolio/Adobe/Portfolio/atharvakhole.myportfolio.com/dist/js/main9089.js	(from https://atharvakhole.myportfolio.com/)
13:05:04	77647/77647	---M--	200	added ('OK')	text/css	etag:6bafeffe6d8a756294c44a036326d59d	https://pro2-bar-s3-cdn-cf3.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/e7aec6028a52cfba18550544ebf925d01637875090.css?h=b16e612b420813f89b4a2124cf44ce53	D:/Portfolio/Adobe/Portfolio/pro2-bar-s3-cdn-cf3.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/e7aec6028a52cfba18550544ebf925d016378750904f45.css	(from https://atharvakhole.myportfolio.com/contact)
13:05:05	73468/73468	---M--	200	added ('OK')	text/css	etag:c99f4acb5c5f3b437de55778fea6d08c	https://pro2-bar-s3-cdn-cf6.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/7a08182a3d9566ec76a5358d110d6e521637875090.css?h=26764f7bbfad64ffc30f86045a211d19	D:/Portfolio/Adobe/Portfolio/pro2-bar-s3-cdn-cf6.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/7a08182a3d9566ec76a5358d110d6e5216378750902000.css	(from https://atharvakhole.myportfolio.com/ezlists)
13:05:05	1009563/1009563	---M--	200	added ('OK')	image/png	etag:35dfdaa08bef7e5dd89d2315aa45010d	https://pro2-bar-s3-cdn-cf6.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/a404da98-2c0f-4fdd-bc52-6c3008147c80.png?h=e6abe778bb214a1cf526f2738df62e5d	D:/Portfolio/Adobe/Portfolio/pro2-bar-s3-cdn-cf6.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/a404da98-2c0f-4fdd-bc52-6c3008147c80fd51.png	(from https://atharvakhole.myportfolio.com/ezlists)
13:05:06	1000709/1000709	---M--	200	added ('OK')	image/png	etag:91bcebd36d8604df409a60fc5b56c7cb	https://pro2-bar-s3-cdn-cf6.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/a404da98-2c0f-4fdd-bc52-6c3008147c80_rw_3840.png?h=b3874e7418e334fd4482533327777d81	D:/Portfolio/Adobe/Portfolio/pro2-bar-s3-cdn-cf6.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/a404da98-2c0f-4fdd-bc52-6c3008147c80_rw_38406262.png	(from https://atharvakhole.myportfolio.com/ezlists)
13:05:07	4773708/4773708	---M--	200	added ('OK')	image/png	etag:26bd5374771e729e3ccb996e1b773596	https://pro2-bar-s3-cdn-cf1.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/c2e962c9-6e1d-40ac-bfac-56e2210dc61e.png?h=f18796665c8e933a9108b65dbc982580	D:/Portfolio/Adobe/Portfolio/pro2-bar-s3-cdn-cf1.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/c2e962c9-6e1d-40ac-bfac-56e2210dc61e9b5b.png	(from https://atharvakhole.myportfolio.com/ezlists)
13:05:07	3744791/3744791	---M--	200	added ('OK')	image/png	etag:ce206fc45567b210bfea1f34585ede5a	https://pro2-bar-s3-cdn-cf1.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/c2e962c9-6e1d-40ac-bfac-56e2210dc61e_rw_3840.png?h=133e9ad8a99eb205191db40a0e718271	D:/Portfolio/Adobe/Portfolio/pro2-bar-s3-cdn-cf1.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/c2e962c9-6e1d-40ac-bfac-56e2210dc61e_rw_38401bcb.png	(from https://atharvakhole.myportfolio.com/ezlists)
13:05:08	824379/824379	---M--	200	added ('OK')	image/png	etag:946550cc8daa4b461ea94148d17f1135	https://pro2-bar-s3-cdn-cf6.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/7161b700-d722-479e-ab9c-44fee69927d2.png?h=5eb7ebd2ed1cee08f4001c1275094bc5	D:/Portfolio/Adobe/Portfolio/pro2-bar-s3-cdn-cf6.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/7161b700-d722-479e-ab9c-44fee69927d20328.png	(from https://atharvakhole.myportfolio.com/ezlists)
13:05:08	573771/573771	---M--	200	added ('OK')	image/png	etag:bbb963554baabe605187c11aca32186c	https://pro2-bar-s3-cdn-cf6.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/7161b700-d722-479e-ab9c-44fee69927d2_rw_3840.png?h=01b1c893c8c1c962500bc8504ef948f0	D:/Portfolio/Adobe/Portfolio/pro2-bar-s3-cdn-cf6.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/7161b700-d722-479e-ab9c-44fee69927d2_rw_3840492a.png	(from https://atharvakhole.myportfolio.com/ezlists)
13:05:08	558179/558179	---M--	200	added ('OK')	image/png	etag:5483576b6b48a93522d675595af151c9	https://pro2-bar-s3-cdn-cf5.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/6f0e6f22-58b6-43c0-a55e-f48fa91232b7.png?h=c0660da0b4b65e0ad17f56ea4daf1587	D:/Portfolio/Adobe/Portfolio/pro2-bar-s3-cdn-cf5.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/6f0e6f22-58b6-43c0-a55e-f48fa91232b7f612.png	(from https://atharvakhole.myportfolio.com/ezlists)
13:05:09	535830/535830	---M--	200	added ('OK')	image/png	etag:1dc99ff0958783a5dbb65e65a45f9850	https://pro2-bar-s3-cdn-cf5.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/6f0e6f22-58b6-43c0-a55e-f48fa91232b7_rw_1920.png?h=b783b5d9e40f23dc2cd52564fbd80c43	D:/Portfolio/Adobe/Portfolio/pro2-bar-s3-cdn-cf5.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/6f0e6f22-58b6-43c0-a55e-f48fa91232b7_rw_1920a384.png	(from https://atharvakhole.myportfolio.com/ezlists)
13:05:09	199556/199556	---M--	200	added ('OK')	image/png	etag:1f87cb989ae8206f2ed404bd3f672393	https://pro2-bar-s3-cdn-cf5.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/68b11b29-02c8-4f3c-bc7b-bd54172e083e.png?h=0775f918fbc65e3fe56f746ab06b93f8	D:/Portfolio/Adobe/Portfolio/pro2-bar-s3-cdn-cf5.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/68b11b29-02c8-4f3c-bc7b-bd54172e083e4d8f.png	(from https://atharvakhole.myportfolio.com/ezlists)
13:05:10	195350/195350	---M--	200	added ('OK')	image/png	etag:c07b29cb3e72fbadeee9f1c4de1bcecc	https://pro2-bar-s3-cdn-cf5.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/68b11b29-02c8-4f3c-bc7b-bd54172e083e_rw_1200.png?h=1bd6de1af5a49bb30b47a2b6db807619	D:/Portfolio/Adobe/Portfolio/pro2-bar-s3-cdn-cf5.myportfolio.com/b107f0d4-1d73-44da-a350-5d1fdafd38e7/68b11b29-02c8-4f3c-bc7b-bd54172e083e_rw_12005632.png	(from https://atharvakhole.myportfolio.com/ezlists)
